"countrynum","regioncode","state","cntrystatenum"
"124","04","Alberta","12404"
"124","11","British Columbia","12411"
"124","43","Northwest Territories","12443"
"124","45","Manitoba","12445"
"124","56","New Brunswick","12456"
"124","57","Newfoundland and Labrador","12457"
"124","62","Nunavut","12462"
"124","65","Nova Scotia","12465"
"124","68","Ontario","12468"
"124","75","Prince Edward Island","12475"
"124","76","Quebec","12476"
"124","79","Saskatchewan","12479"
"124","93","Yukon","12493"
"484","01","Aguascalientes","48401"
"484","02","Baja California","48402"
"484","03","Baja California Sur","48403"
"484","04","Campeche","48404"
"484","05","Chiapas","48405"
"484","06","Chihuahua","48406"
"484","07","Coahuila","48407"
"484","08","Colima","48408"
"484","09","Distrito Federal","48409"
"484","10","Durango","48410"
"484","11","Guanajuato","48411"
"484","12","Guerrero","48412"
"484","13","Hidalgo","48413"
"484","14","Jalisco","48414"
"484","15","México","48415"
"484","16","Michoacán","48416"
"484","17","Morelos","48417"
"484","18","Nayarit","48418"
"484","19","Nuevo León","48419"
"484","20","Oaxaca","48420"
"484","21","Puebla","48421"
"484","22","Querétaro","48422"
"484","23","Quintana Roo","48423"
"484","24","San Luis Potosí","48424"
"484","25","Sinaloa","48425"
"484","26","Sonora","48426"
"484","27","Tabasco","48427"
"484","28","Tamaulipas","48428"
"484","29","Tlaxcala","48429"
"484","30","Veracruz","48430"
"484","31","Yucatán","48431"
"484","32","Zacatecas","48432"
"484","48","Mexico Country","48448"
"840","02","ALABAMA","84002"
"840","03","ALASKA","84003"
"840","06","ARIZONA","84006"
"840","07","ARKANSAS","84007"
"840","14","CALIFORNIA","84014"
"840","17","COLORADO","84017"
"840","18","CONNECTICUT","84018"
"840","21","DELAWARE","84021"
"840","25","FLORIDA","84025"
"840","27","GEORGIA","84027"
"840","33","IDAHO","84033"
"840","34","ILLINOIS","84034"
"840","35","INDIANA","84035"
"840","36","IOWA","84036"
"840","38","KANSAS","84038"
"840","39","KENTUCKY","84039"
"840","42","LOUISIANA","84042"
"840","44","MAINE","84044"
"840","46","MARYLAND","84046"
"840","47","MASSACHUSETTS","84047"
"840","49","MICHIGAN","84049"
"840","50","MINNESOTA","84050"
"840","51","MISSISSIPPI","84051"
"840","52","MISSOURI","84052"
"840","53","MONTANA","84053"
"840","54","NEBRASKA","84054"
"840","55","NEVADA","84055"
"840","58","NEW HAMPSHIRE","84058"
"840","59","NEW JERSEY","84059"
"840","60","NEW MEXICO","84060"
"840","61","NEW YORK","84061"
"840","63","NORTH CAROLINA","84063"
"840","64","NORTH DAKOTA","84064"
"840","66","OHIO","84066"
"840","67","OKLAHOMA","84067"
"840","69","OREGON","84069"
"840","72","PENNSYLVANIA","84072"
"840","74","PUERTO RICO","84074"
"840","77","RHODE ISLAND","84077"
"840","80","SOUTH CAROLINA","84080"
"840","81","SOUTH DAKOTA","84081"
"840","82","TENNESSEE","84082"
"840","83","TEXAS","84083"
"840","85","UTAH","84085"
"840","87","VERMONT","84087"
"840","88","VIRGINIA","84088"
"840","89","WASHINGTON","84089"
"840","90","WEST VIRGINIA","84090"
"840","91","WISCONSIN","84091"
"840","92","WYOMING","84092"
